constructor_standings_id,race_id,constructor_id,points,position,wins
251,90,5,16.0,3,0
252,90,102,0.0,7,0
253,90,99,0.0,9,0
254,90,167,46.0,1,5
255,90,103,0.0,8,0
256,90,163,3.0,5,0
257,90,64,6.0,4,0
258,90,31,25.0,2,1
259,91,163,3.0,5,0
260,91,104,0.0,11,0
261,91,103,0.0,8,0
262,91,116,0.0,12,0
263,91,5,19.0,3,0
264,91,31,28.0,2,1
265,91,167,48.0,1,6
266,91,168,0.0,10,0
267,91,115,0.0,6,0
268,91,99,0.0,9,0
269,91,64,6.0,4,0
270,91,102,0.0,7,0
271,92,167,48.0,1,6
272,92,116,0.0,13,0
273,92,115,0.0,9,0
274,92,31,28.0,2,1
275,92,104,0.0,12,0
276,92,168,3.0,6,0
277,92,99,0.0,11,0
278,92,103,0.0,10,0
279,92,102,0.0,8,0
280,92,64,6.0,4,0
281,92,163,3.0,5,0
282,92,93,1.0,7,0
283,92,5,26.0,3,1
284,93,104,0.0,9,0
285,93,99,0.0,12,0
286,93,102,0.0,8,0
287,93,103,0.0,11,0
288,93,116,0.0,13,0
289,93,168,3.0,6,0
290,93,93,1.0,7,0
291,93,5,26.0,3,1
292,93,31,34.0,2,2
293,93,167,48.0,1,6
294,93,64,8.0,4,0
295,93,163,3.0,5,0
296,93,115,0.0,10,0
297,94,93,2.0,3,0
298,94,97,0.0,7,0
299,94,163,0.0,5,0
300,94,169,9.0,1,1
301,94,64,0.0,6,0
302,94,167,1.0,4,0
303,94,5,6.0,2,0
304,95,167,2.0,4,0
305,95,5,15.0,1,1
306,95,97,0.0,7,0
307,95,163,0.0,5,0
308,95,64,0.0,6,0
309,95,169,13.0,2,1
310,95,93,2.0,3,0
311,96,5,24.0,1,2
312,96,169,13.0,2,1
313,96,64,0.0,6,0
314,96,167,4.0,3,0
315,96,163,0.0,5,0
316,96,93,3.0,4,0
317,96,97,0.0,7,0
318,97,64,1.0,5,0
319,97,163,0.0,6,0
320,97,99,0.0,9,0
321,97,97,0.0,7,0
322,97,167,6.0,4,0
323,97,93,9.0,3,0
324,97,5,33.0,1,3
325,97,169,17.0,2,1
326,97,171,0.0,8,0
327,98,167,9.0,4,0
328,98,95,0.0,7,0
329,98,171,0.0,9,0
330,98,99,0.0,10,0
331,98,5,42.0,1,4
332,98,169,17.0,2,1
333,98,93,11.0,3,0
334,98,163,0.0,6,0
335,98,97,0.0,8,0
336,98,64,1.0,5,0
337,99,64,1.0,5,0
338,99,97,0.0,8,0
339,99,171,0.0,9,0
340,99,99,0.0,11,0
341,99,5,42.0,1,4
342,99,95,0.0,7,0
343,99,169,26.0,2,2
344,99,101,0.0,10,0
345,99,167,10.0,4,0
346,99,163,0.0,6,0
347,99,93,11.0,3,0
348,100,101,0.0,13,0
349,100,99,0.0,12,0
350,100,171,0.0,11,0
351,100,5,45.0,1,5
352,100,169,26.0,2,2
353,100,95,0.0,7,0
354,100,167,13.0,4,0
355,100,93,17.0,3,0
356,100,64,3.0,5,0
357,100,97,0.0,10,0
358,100,170,0.0,8,0
359,100,172,0.0,9,0
360,100,163,0.0,6,0
361,101,97,0.0,10,0
362,101,93,22.0,3,0
363,101,167,14.0,4,0
364,101,163,0.0,6,0
365,101,171,0.0,11,0
366,101,172,0.0,9,0
367,101,170,0.0,8,0
368,101,101,0.0,13,0
369,101,64,7.0,5,0
370,101,99,0.0,12,0
371,101,95,0.0,7,0
372,101,169,35.0,2,3
373,101,5,45.0,1,5
374,102,93,1.0,5,0
375,102,25,0.0,7,0
376,102,97,0.0,6,0
377,102,64,9.0,1,1
378,102,169,6.0,2,0
379,102,5,4.0,3,0
380,102,167,2.0,4,0
381,103,93,3.0,6,0
382,103,64,10.0,2,1
383,103,169,6.0,4,0
384,103,172,0.0,9,0
385,103,173,0.0,8,0
386,103,25,3.0,5,0
387,103,97,0.0,7,0
388,103,167,11.0,1,1
389,103,5,10.0,3,0
390,104,64,16.0,1,1
391,104,167,11.0,4,1
392,104,169,15.0,2,1
393,104,5,14.0,3,0
394,104,93,3.0,6,0
395,104,172,0.0,9,0
396,104,173,0.0,8,0
397,104,25,5.0,5,0
398,104,97,0.0,7,0
399,105,85,0.0,7,0
400,105,169,15.0,3,1
401,105,64,20.0,1,1
402,105,31,0.0,10,0
403,105,93,12.0,5,1
404,105,167,17.0,2,1
405,105,97,0.0,9,0
406,105,25,7.0,6,0
407,105,173,0.0,8,0
408,105,172,0.0,11,0
409,105,5,14.0,4,0
410,106,169,24.0,1,2
411,106,5,14.0,4,0
412,106,64,23.0,2,1
413,106,93,12.0,6,1
414,106,167,21.0,3,1
415,106,97,0.0,7,0
416,106,25,13.0,5,0
417,106,172,0.0,11,0
418,106,85,0.0,8,0
419,106,31,0.0,10,0
420,106,95,0.0,12,0
421,106,173,0.0,9,0
422,107,5,15.0,6,0
423,107,93,16.0,5,1
424,107,64,31.0,1,2
425,107,169,27.0,2,2
426,107,97,0.0,7,0
427,107,173,0.0,10,0
428,107,167,23.0,3,1
429,107,33,0.0,12,0
430,107,172,0.0,14,0
431,107,85,0.0,9,0
432,107,98,0.0,8,0
433,107,95,0.0,13,0
434,107,31,0.0,11,0
435,107,25,19.0,4,0
436,108,33,0.0,12,0
437,108,84,0.0,16,0
438,108,5,18.0,5,0
439,108,174,0.0,17,0
440,108,97,0.0,7,0
441,108,171,0.0,15,0
442,108,31,0.0,11,0
443,108,93,17.0,6,1
444,108,172,0.0,14,0
445,108,98,0.0,9,0
446,108,95,0.0,13,0
447,108,173,0.0,8,0
448,108,167,25.0,3,1
449,108,169,27.0,2,2
450,108,64,37.0,1,3
451,108,85,0.0,10,0
452,108,25,19.0,4,0
453,109,169,36.0,2,3
454,109,98,0.0,10,0
455,109,174,0.0,17,0
456,109,84,0.0,16,0
457,109,25,19.0,4,0
458,109,97,0.0,9,0
459,109,93,18.0,5,1
460,109,33,3.0,7,0
461,109,64,39.0,1,3
462,109,95,0.0,13,0
463,109,172,0.0,14,0
464,109,173,1.0,8,0
465,109,31,0.0,12,0
466,109,167,27.0,3,1
467,109,5,18.0,6,0
468,109,171,0.0,15,0
469,109,85,0.0,11,0
470,110,169,36.0,2,3
471,110,167,29.0,3,1
472,110,93,18.0,5,1
473,110,25,19.0,4,0
474,110,5,18.0,6,0
475,110,97,0.0,9,0
476,110,175,0.0,13,0
477,110,85,0.0,11,0
478,110,172,0.0,16,0
479,110,64,42.0,1,4
480,110,98,0.0,10,0
481,110,33,6.0,7,0
482,110,173,1.0,8,0
483,110,95,0.0,15,0
484,110,87,0.0,12,0
485,110,174,0.0,19,0
486,110,84,0.0,18,0
487,110,171,0.0,17,0
488,110,31,0.0,14,0
489,111,64,9.0,1,1
490,111,93,0.0,11,0
491,111,90,0.0,9,0
492,111,52,0.0,8,0
493,111,173,0.0,5,0
494,111,169,1.0,4,0
495,111,5,3.0,3,0
496,111,167,4.0,2,0
497,111,84,0.0,10,0
498,111,25,0.0,6,0
499,111,33,0.0,7,0
500,112,84,0.0,12,0
501,112,5,3.0,5,0
502,112,93,1.0,6,0
503,112,92,0.0,11,0
504,112,173,0.0,8,0
505,112,52,0.0,10,0
506,112,33,4.0,4,0
507,112,64,12.0,1,1
508,112,169,10.0,2,1
509,112,167,10.0,3,0
510,112,90,0.0,7,0
511,112,25,0.0,9,0
512,113,93,1.0,7,0
513,113,167,10.0,3,0
514,113,92,3.0,6,0
515,113,90,0.0,9,0
516,113,169,19.0,1,2
517,113,25,0.0,10,0
518,113,52,0.0,11,0
519,113,84,0.0,12,0
520,113,173,0.0,8,0
521,113,33,10.0,4,0
522,113,5,7.0,5,0
523,113,64,14.0,2,1
524,114,173,1.0,7,0
525,114,33,13.0,4,0
526,114,93,1.0,8,0
527,114,90,0.0,10,0
528,114,167,16.0,2,0
529,114,84,0.0,12,0
530,114,5,7.0,5,0
531,114,169,28.0,1,3
532,114,92,3.0,6,0
533,114,25,0.0,9,0
534,114,52,0.0,11,0
535,114,64,14.0,3,1
536,115,64,18.0,2,1
537,115,90,0.0,10,0
538,115,52,0.0,11,0
539,115,25,0.0,9,0
540,115,5,13.0,5,0
541,115,173,2.0,7,0
542,115,93,1.0,8,0
543,115,169,37.0,1,4
544,115,33,13.0,4,0
545,115,95,0.0,12,0
546,115,84,0.0,13,0
547,115,167,16.0,3,0
548,115,92,3.0,6,0
549,116,90,0.0,10,0
550,116,33,13.0,5,0
551,116,93,4.0,6,0
552,116,167,17.0,4,0
553,116,174,0.0,14,0
554,116,5,22.0,3,1
555,116,92,3.0,8,0
556,116,84,0.0,13,0
557,116,95,0.0,12,0
558,116,169,43.0,1,4
559,116,173,4.0,7,0
560,116,25,0.0,9,0
561,116,52,0.0,11,0
562,116,64,22.0,2,1
563,117,170,0.0,17,0
564,117,25,0.0,9,0
565,117,95,0.0,12,0
566,117,167,21.0,4,0
567,117,173,4.0,8,0
568,117,33,15.0,5,0
569,117,93,4.0,7,0
570,117,90,0.0,10,0
571,117,163,0.0,14,0
572,117,174,0.0,15,0
573,117,84,0.0,13,0
574,117,52,0.0,11,0
575,117,169,51.0,1,5
576,117,5,22.0,3,1
577,117,92,6.0,6,0
578,117,64,28.0,2,1
579,117,176,0.0,16,0
580,118,52,0.0,12,0
581,118,33,18.0,5,0
582,118,25,0.0,9,0
583,118,64,35.0,2,2
584,118,174,0.0,16,0
585,118,170,0.0,18,0
586,118,173,4.0,8,0
587,118,169,51.0,1,5
588,118,5,24.0,3,1
589,118,90,0.0,11,0
590,118,92,6.0,6,0
591,118,93,5.0,7,0
592,118,95,0.0,13,0
593,118,84,0.0,14,0
594,118,176,0.0,17,0
595,118,96,0.0,10,0
596,118,163,0.0,15,0
597,118,167,21.0,4,0
598,119,92,6.0,6,0
599,119,64,36.0,2,2
600,119,5,24.0,3,1
601,119,174,0.0,17,0
602,119,170,0.0,19,0
603,119,96,0.0,10,0
604,119,95,0.0,13,0
605,119,163,0.0,16,0
606,119,31,0.0,15,0
607,119,176,0.0,18,0
608,119,169,54.0,1,6
609,119,167,23.0,5,0
610,119,25,0.0,9,0
611,119,33,24.0,4,0
612,119,52,0.0,12,0
613,119,84,0.0,14,0
614,119,90,0.0,11,0
615,119,93,5.0,7,0
616,119,173,4.0,8,0
617,120,167,25.0,5,0
618,120,95,0.0,17,0
619,120,174,0.0,20,0
620,120,173,4.0,8,0
621,120,92,6.0,6,0
622,120,25,0.0,9,0
623,120,33,28.0,3,0
624,120,52,0.0,12,0
625,120,90,0.0,11,0
626,120,170,0.0,22,0
627,120,163,0.0,14,0
628,120,96,0.0,10,0
629,120,31,0.0,19,0
630,120,176,0.0,21,0
631,120,84,0.0,18,0
632,120,49,0.0,16,0
633,120,177,0.0,15,0
634,120,87,0.0,13,0
635,120,169,54.0,1,7
636,120,64,36.0,2,2
637,120,93,5.0,7,0
638,120,5,26.0,4,1
639,121,180,0.0,5,0
640,121,167,2.0,3,0
641,121,92,0.0,7,0
642,121,5,0.0,6,0
643,121,169,4.0,2,0
644,121,173,1.0,4,0
645,121,64,9.0,1,1
646,121,90,0.0,8,0
647,122,178,0.0,7,0
648,122,90,0.0,10,0
649,122,92,0.0,8,0
650,122,64,12.0,2,1
651,122,93,0.0,9,0
652,122,5,6.0,3,0
653,122,173,3.0,4,0
654,122,167,2.0,5,0
655,122,180,1.0,6,0
656,122,169,13.0,1,1
657,123,64,15.0,2,1
658,123,93,0.0,10,0
659,123,169,22.0,1,2
660,123,5,6.0,4,0
661,123,180,5.0,5,0
662,123,90,0.0,9,0
663,123,173,3.0,6,0
664,123,92,0.0,7,0
665,123,178,0.0,8,0
666,123,167,8.0,3,0
667,124,167,9.0,4,0
668,124,178,0.0,8,0
669,124,92,0.0,7,0
670,124,5,6.0,5,0
671,124,180,14.0,3,1
672,124,173,3.0,6,0
673,124,169,25.0,1,2
674,124,64,21.0,2,1
675,124,93,0.0,10,0
676,124,90,0.0,9,0
677,125,92,0.0,7,0
678,125,93,0.0,10,0
679,125,178,0.0,8,0
680,125,179,0.0,11,0
681,125,173,3.0,6,0
682,125,180,17.0,3,1
683,125,5,10.0,4,0
684,125,90,0.0,9,0
685,125,169,34.0,1,3
686,125,64,27.0,2,1
687,125,167,10.0,5,0
688,126,5,19.0,3,1
689,126,180,17.0,4,1
690,126,173,3.0,7,0
691,126,167,10.0,5,0
692,126,178,3.0,6,0
693,126,169,34.0,1,3
694,126,90,0.0,10,0
695,126,93,0.0,11,0
696,126,92,0.0,8,0
697,126,179,0.0,12,0
698,126,10,0.0,9,0
699,126,64,33.0,2,1
700,127,179,0.0,12,0
701,127,93,0.0,11,0
702,127,180,21.0,4,1
703,127,10,0.0,9,0
704,127,169,34.0,2,3
705,127,92,2.0,8,0
706,127,5,28.0,3,2
707,127,173,3.0,7,0
708,127,90,0.0,10,0
709,127,167,10.0,5,0
710,127,64,36.0,1,1
711,127,178,3.0,6,0
712,128,178,3.0,7,0
713,128,92,4.0,6,0
714,128,173,3.0,8,0
715,128,169,35.0,3,3
716,128,167,16.0,5,0
717,128,5,37.0,1,3
718,128,10,0.0,9,0
719,128,179,0.0,13,0
720,128,94,0.0,11,0
721,128,64,36.0,2,1
722,128,93,0.0,12,0
723,128,90,0.0,10,0
724,128,180,21.0,4,1
725,129,10,0.0,9,0
726,129,94,0.0,11,0
727,129,93,0.0,12,0
728,129,178,7.0,6,0
729,129,5,43.0,1,3
730,129,90,0.0,10,0
731,129,180,21.0,4,1
732,129,173,3.0,8,0
733,129,167,16.0,5,0
734,129,169,36.0,3,3
735,129,64,42.0,2,2
736,129,179,0.0,13,0
737,129,92,5.0,7,0
738,130,10,0.0,9,0
739,130,90,0.0,10,0
740,130,93,0.0,12,0
741,130,94,0.0,11,0
742,130,179,0.0,13,0
743,130,180,30.0,4,2
744,130,169,37.0,3,3
745,130,167,16.0,5,0
746,130,173,3.0,8,0
747,130,92,5.0,7,0
748,130,5,45.0,1,3
749,130,178,7.0,6,0
750,130,64,42.0,2,2
751,131,5,6.0,2,0
752,131,169,9.0,1,1
753,131,180,0.0,6,0
754,131,179,0.0,7,0
755,131,173,0.0,9,0
756,131,49,0.0,8,0
757,131,167,2.0,4,0
758,131,178,0.0,5,0
759,131,163,0.0,15,0
760,131,182,0.0,10,0
761,131,183,0.0,11,0
762,131,181,0.0,12,0
763,131,177,0.0,13,0
764,131,91,0.0,14,0
765,131,64,4.0,3,0
766,132,180,0.0,6,0
767,132,167,4.0,4,0
768,132,177,0.0,14,0
769,132,163,0.0,16,0
770,132,181,0.0,13,0
771,132,5,12.0,2,0
772,132,64,13.0,1,1
773,132,49,0.0,8,0
774,132,179,0.0,7,0
775,132,183,0.0,12,0
776,132,178,1.0,5,0
777,132,10,0.0,11,0
778,132,169,9.0,3,1
779,132,173,0.0,9,0
780,132,91,0.0,15,0
781,132,182,0.0,10,0
782,133,180,3.0,5,0
783,133,64,19.0,1,1
784,133,182,0.0,11,0
785,133,49,0.0,9,0
786,133,179,0.0,8,0
787,133,10,1.0,7,0
788,133,178,1.0,6,0
789,133,177,0.0,14,0
790,133,181,0.0,13,0
791,133,183,0.0,12,0
792,133,173,0.0,10,0
793,133,169,18.0,2,2
794,133,5,12.0,3,0
795,133,167,8.0,4,0
796,133,91,0.0,15,0
797,133,163,0.0,16,0
798,134,49,0.0,9,0
799,134,179,0.0,8,0
800,134,169,27.0,1,3
801,134,64,25.0,2,1
802,134,10,1.0,7,0
803,134,163,0.0,16,0
804,134,177,0.0,14,0
805,134,181,0.0,13,0
806,134,183,0.0,12,0
807,134,173,0.0,10,0
808,134,180,6.0,5,0
809,134,182,0.0,11,0
810,134,178,2.0,6,0
811,134,167,8.0,4,0
812,134,5,16.0,3,0
813,134,91,0.0,15,0
814,135,180,7.0,5,0
815,135,5,20.0,3,0
816,135,64,31.0,2,1
817,135,182,0.0,11,0
818,135,49,0.0,9,0
819,135,179,0.0,8,0
820,135,177,0.0,14,0
821,135,173,0.0,10,0
822,135,10,1.0,7,0
823,135,163,0.0,16,0
824,135,91,0.0,15,0
825,135,181,0.0,13,0
826,135,183,0.0,12,0
827,135,169,36.0,1,4
828,135,167,8.0,4,0
829,135,178,2.0,6,0
830,136,167,8.0,5,0
831,136,64,37.0,2,1
832,136,182,0.0,11,0
833,136,49,0.0,10,0
834,136,179,0.0,8,0
835,136,10,2.0,7,0
836,136,91,0.0,15,0
837,136,169,45.0,1,5
838,136,163,0.0,16,0
839,136,178,2.0,6,0
840,136,180,11.0,4,0
841,136,173,0.0,9,0
842,136,5,20.0,3,0
843,136,181,0.0,13,0
844,136,177,0.0,14,0
845,136,183,0.0,12,0
846,137,181,0.0,13,0
847,137,91,0.0,15,0
848,137,10,2.0,7,0
849,137,179,0.0,8,0
850,137,49,0.0,10,0
851,137,182,0.0,11,0
852,137,64,39.0,2,1
853,137,180,15.0,4,0
854,137,163,0.0,16,0
855,137,177,0.0,14,0
856,137,183,0.0,12,0
857,137,173,0.0,9,0
858,137,169,54.0,1,6
859,137,5,21.0,3,0
860,137,167,11.0,5,0
861,137,178,2.0,6,0
862,138,173,1.0,8,0
863,138,183,0.0,12,0
864,138,179,0.0,9,0
865,138,49,0.0,10,0
866,138,182,0.0,11,0
867,138,64,42.0,2,2
868,138,5,24.0,3,0
869,138,178,2.0,6,0
870,138,167,13.0,5,0
871,138,180,19.0,4,0
872,138,169,54.0,1,6
873,138,163,0.0,16,0
874,138,91,0.0,15,0
875,138,177,0.0,14,0
876,138,181,0.0,13,0
877,138,10,2.0,7,0
878,139,167,14.0,5,0
879,139,64,45.0,2,3
880,139,182,0.0,11,0
881,139,169,54.0,1,6
882,139,5,26.0,3,0
883,139,178,2.0,6,0
884,139,180,24.0,4,0
885,139,173,1.0,8,0
886,139,181,0.0,13,0
887,139,177,0.0,14,0
888,139,91,0.0,15,0
889,139,163,0.0,16,0
890,139,10,2.0,7,0
891,139,49,0.0,10,0
892,139,179,0.0,9,0
893,139,183,0.0,12,0
894,140,178,5.0,7,0
895,140,179,0.0,9,0
896,140,49,0.0,10,0
897,140,182,0.0,11,0
898,140,64,45.0,2,3
899,140,167,14.0,5,0
900,140,180,27.0,3,0
901,140,169,54.0,1,6
902,140,173,2.0,8,0
903,140,183,0.0,12,0
904,140,5,26.0,4,0
905,140,181,0.0,13,0
906,140,91,0.0,15,0
907,140,163,0.0,16,0
908,140,10,11.0,6,1
909,140,177,0.0,14,0
910,141,178,0.0,5,0
911,141,180,0.0,8,0
912,141,169,0.0,4,0
913,141,184,0.0,9,0
914,141,163,0.0,3,0
915,141,5,6.0,2,0
916,141,64,9.0,1,1
917,141,173,0.0,6,0
918,141,188,0.0,7,0
919,142,185,0.0,11,0
920,142,173,0.0,7,0
921,142,188,3.0,4,0
922,142,169,0.0,6,0
923,142,178,0.0,8,0
924,142,5,15.0,1,1
925,142,163,6.0,3,0
926,142,184,0.0,10,0
927,142,186,0.0,5,0
928,142,64,9.0,2,1
929,142,180,0.0,9,0
930,143,186,2.0,5,0
931,143,184,0.0,10,0
932,143,64,9.0,3,1
933,143,163,9.0,4,0
934,143,185,0.0,11,0
935,143,5,21.0,1,1
936,143,188,12.0,2,1
937,143,173,0.0,9,0
938,143,180,0.0,7,0
939,143,169,0.0,8,0
940,143,178,1.0,6,0
941,144,89,0.0,13,0
942,144,188,21.0,1,2
943,144,173,0.0,11,0
944,144,178,1.0,7,0
945,144,169,3.0,5,0
946,144,180,0.0,9,0
947,144,186,2.0,6,0
948,144,64,13.0,3,1
949,144,189,0.0,10,0
950,144,185,1.0,8,0
951,144,5,21.0,2,1
952,144,184,0.0,12,0
953,144,163,11.0,4,0
954,145,163,11.0,4,0
955,145,5,22.0,2,1
956,145,89,0.0,13,0
957,145,184,0.0,12,0
958,145,189,0.0,11,0
959,145,185,1.0,9,0
960,145,188,30.0,1,3
961,145,173,2.0,7,0
962,145,178,1.0,8,0
963,145,169,7.0,5,0
964,145,180,0.0,10,0
965,145,64,19.0,3,1
966,145,186,2.0,6,0
967,146,89,0.0,13,0
968,146,5,23.0,2,1
969,146,185,1.0,9,0
970,146,178,1.0,8,0
971,146,173,2.0,7,0
972,146,64,22.0,3,1
973,146,184,0.0,12,0
974,146,189,0.0,11,0
975,146,163,17.0,4,0
976,146,169,7.0,5,0
977,146,188,39.0,1,4
978,146,186,2.0,6,0
979,146,180,0.0,10,0
980,147,5,31.0,2,2
981,147,189,0.0,11,0
982,147,188,40.0,1,4
983,147,173,4.0,6,0
984,147,185,1.0,10,0
985,147,163,20.0,4,0
986,147,186,2.0,7,0
987,147,10,0.0,12,0
988,147,187,0.0,14,0
989,147,89,0.0,15,0
990,147,184,0.0,13,0
991,147,178,1.0,9,0
992,147,169,7.0,5,0
993,147,64,22.0,3,1
994,147,180,1.0,8,0
995,148,180,1.0,9,0
