result_id,race_id,driver_id,constructor_id,grid,position_order,points,laps,status
107,4,627,152,8,3,4.0,35,0
108,4,786,49,3,2,6.0,35,0
109,4,579,49,2,1,8.0,35,0
110,4,633,5,4,6,0.0,33,11
111,5,784,103,17,16,0.0,5,4
112,5,762,103,7,14,0.0,6,4
113,5,589,103,13,15,0.0,6,4
114,5,793,152,16,17,0.0,4,24
115,5,686,103,11,13,0.0,9,4
116,5,774,152,4,5,1.0,59,14
117,5,627,152,15,6,0.0,56,17
118,5,627,152,6,12,0.0,10,24
119,5,498,103,8,18,0.0,3,4
120,5,660,152,14,11,0.0,11,24
121,5,642,49,2,7,0.0,55,47
122,5,773,152,9,9,0.0,36,4
123,5,704,152,5,8,0.0,52,53
124,5,579,49,1,1,9.0,64,0
125,5,786,49,3,2,6.0,64,0
126,5,801,152,15,6,0.0,56,17
127,5,741,152,4,5,1.0,59,14
128,5,626,139,12,4,3.0,61,12
129,5,687,5,18,3,4.0,61,12
130,5,697,103,10,10,0.0,14,4
131,6,641,49,7,13,0.0,34,4
132,6,773,152,20,14,0.0,29,5
133,6,791,5,25,18,0.0,17,4
134,6,660,152,22,16,0.0,22,24
135,6,647,5,2,17,0.0,21,4
136,6,762,103,9,12,0.0,39,30
137,6,765,152,16,19,0.0,16,22
138,6,579,49,1,15,1.0,23,5
139,6,764,152,11,11,0.0,42,105
140,6,740,103,26,20,0.0,15,30
141,6,787,149,21,9,0.0,51,20
142,6,747,103,24,8,0.0,56,5
143,6,687,5,18,7,0.0,72,17
144,6,640,103,17,6,0.0,72,17
145,6,741,152,16,5,2.0,75,14
146,6,627,152,13,4,3.0,75,14
147,6,786,49,5,3,4.0,80,0
148,6,802,5,6,2,3.0,80,0
149,6,642,49,3,1,8.0,80,0
150,6,426,139,12,21,0.0,13,107
151,6,793,152,8,10,0.0,48,5
152,6,589,103,19,22,0.0,13,50
153,6,626,139,10,24,0.0,7,6
154,6,763,49,4,23,0.0,11,4
155,6,669,103,15,25,0.0,1,4
156,6,756,103,27,26,0.0,0,4
157,6,697,161,23,27,0.0,0,52
158,6,647,5,6,2,3.0,80,0
159,6,579,49,7,13,0.0,34,4
160,7,475,131,14,8,0.0,40,11
161,7,723,5,10,11,0.0,39,12
162,7,501,103,17,12,0.0,38,13
163,7,660,152,18,13,0.0,35,16
164,7,764,152,21,14,0.0,31,44
165,7,765,152,11,16,0.0,30,2
166,7,741,152,12,10,0.0,39,12
167,7,725,131,20,17,0.0,23,118
168,7,704,152,15,18,0.0,14,77
169,7,633,5,3,19,0.0,12,2
170,7,687,5,9,15,0.0,36,2
171,7,579,49,1,1,9.0,42,0
172,7,763,49,4,4,3.0,41,10
173,7,642,49,2,3,4.0,42,0
174,7,498,152,13,20,0.0,10,91
175,7,640,49,5,5,2.0,40,11
176,7,647,5,7,6,0.0,40,11
177,7,589,103,19,7,0.0,40,11
178,7,627,152,8,9,0.0,39,12
179,7,641,5,6,2,6.0,42,0
180,7,721,142,16,21,0.0,0,66
181,8,629,111,18,28,0.0,30,106
182,8,657,109,20,29,0.0,29,43
183,8,726,108,21,30,0.0,29,6
184,8,772,148,23,31,0.0,18,4
185,8,732,103,26,32,0.0,15,92
186,8,728,105,30,33,0.0,8,6
187,8,448,137,25,27,0.0,34,105
188,8,673,111,7,2,6.0,200,0
189,8,771,111,13,26,0.0,55,118
190,8,733,111,28,25,0.0,56,77
191,8,630,132,32,24,0.0,73,24
192,8,526,111,6,23,0.0,78,4
193,8,675,111,3,3,2.0,200,0
194,8,770,111,10,22,0.0,80,4
195,8,593,111,8,21,0.0,87,118
196,8,521,154,19,20,0.0,93,41
197,8,769,153,33,19,0.0,97,7
198,8,700,111,15,18,0.0,93,41
199,8,615,111,11,17,0.0,109,7
200,8,766,111,2,1,9.0,200,0
201,8,653,133,27,16,0.0,110,106
202,8,768,148,5,14,0.0,126,2
203,8,729,111,16,13,0.0,129,4
204,8,611,111,12,12,0.0,135,4
205,8,534,111,22,11,0.0,142,4
206,8,699,111,1,10,0.0,151,30
207,8,529,148,9,9,0.0,178,19
208,8,518,148,4,8,0.0,180,124
209,8,767,111,24,7,0.0,193,16
210,8,731,117,17,6,0.0,200,0
211,8,734,132,29,5,2.0,200,0
212,8,658,111,3,3,2.0,200,0
213,8,654,112,14,15,0.0,123,4
214,8,612,147,31,4,3.0,200,0
215,9,660,152,11,7,0.0,33,12
216,9,633,5,3,3,4.0,36,0
217,9,647,5,4,2,6.0,36,0
218,9,641,5,5,12,0.0,8,6
219,9,763,49,6,11,0.0,11,20
220,9,627,152,7,4,3.0,34,11
221,9,741,152,10,13,0.0,0,6
222,9,589,152,9,10,0.0,28,4
223,9,579,49,1,9,1.0,32,13
224,9,642,49,2,1,8.0,36,0
225,9,428,152,12,6,0.0,33,12
226,9,704,152,8,5,2.0,34,11
227,9,773,152,13,8,0.0,32,13
228,10,786,49,7,1,4.0,77,0
229,10,647,5,6,2,3.0,77,0
230,10,633,5,4,3,4.0,74,12
231,10,686,5,9,4,3.0,73,13
232,10,642,49,2,5,2.0,73,13
233,10,589,152,8,6,0.0,71,15
234,10,704,152,11,7,0.0,71,15
235,10,774,152,14,8,0.0,69,17
236,10,764,152,19,9,0.0,66,44
237,10,579,49,1,11,0.0,55,112
238,10,579,49,7,1,5.0,77,0
239,10,498,5,6,2,3.0,77,0
240,10,786,49,1,11,0.0,55,112
241,10,687,5,20,23,0.0,1,4
242,10,640,103,16,22,0.0,1,6
243,10,670,103,15,21,0.0,2,4
244,10,763,49,5,10,0.0,58,121
245,10,626,139,23,20,0.0,3,4
246,10,647,5,3,18,0.0,10,5
247,10,426,139,18,17,0.0,11,4
248,10,501,103,22,16,0.0,23,24
249,10,775,139,17,15,0.0,27,4
250,10,741,152,10,14,0.0,37,4
251,10,627,152,13,13,0.0,43,6
252,10,609,139,21,19,0.0,7,4
253,10,660,152,12,12,0.0,54,2
254,11,777,103,16,17,0.0,46,43
255,11,589,152,13,19,0.0,41,22
256,11,747,103,15,18,0.0,45,4
257,11,779,103,17,20,0.0,23,20
258,11,647,5,4,16,0.0,56,5
259,11,776,124,18,15,0.0,75,59
260,11,627,152,9,10,0.0,83,16
261,11,498,5,1,1,8.0,90,0
262,11,579,49,2,2,6.0,90,0
263,11,633,5,5,3,4.0,88,11
264,11,686,64,20,5,2.0,85,14
265,11,763,49,6,6,0.0,84,15
266,11,661,64,19,7,0.0,84,15
267,11,697,49,7,4,3.0,87,12
268,11,708,152,11,12,0.0,81,18
269,11,660,152,14,13,0.0,80,85
270,11,642,49,3,14,1.0,75,7
271,11,778,149,12,8,0.0,84,15
272,11,687,5,8,9,0.0,83,16
273,11,619,149,10,11,0.0,82,17
274,12,756,49,7,16,0.0,11,2
275,12,640,103,16,22,0.0,2,4
276,12,780,103,17,21,0.0,3,4
277,12,741,152,21,19,0.0,4,5
278,12,642,49,4,18,0.0,8,24
279,12,609,139,12,17,0.0,11,4
280,12,708,152,20,15,0.0,12,50
281,12,589,152,13,20,0.0,3,77
282,12,426,139,14,13,0.0,13,4
283,12,697,49,10,14,0.0,12,118
284,12,647,5,1,1,8.0,20,0
285,12,579,49,3,2,7.0,20,0
286,12,498,5,2,3,4.0,20,0
287,12,633,5,5,4,3.0,20,0
288,12,723,5,8,6,0.0,19,10
289,12,626,139,9,7,0.0,19,10
290,12,641,5,6,5,2.0,20,0
291,12,627,152,15,8,0.0,19,10
292,12,773,152,19,9,0.0,18,11
293,12,680,152,22,10,0.0,18,11
294,12,660,152,18,11,0.0,17,12
295,12,704,152,11,12,0.0,17,2
296,13,773,152,20,14,0.0,9,4
297,13,622,5,16,20,0.0,0,6
298,13,640,49,9,18,0.0,1,123
299,13,660,152,21,17,0.0,4,91
300,13,642,49,2,16,0.0,6,4
301,13,680,152,22,15,0.0,7,24
302,13,687,5,19,19,0.0,1,118
303,13,589,152,17,13,0.0,23,77
304,13,609,139,11,6,0.0,74,15
305,13,426,139,12,11,0.0,29,4
306,13,579,49,1,10,0.0,39,4
307,13,762,125,18,9,0.0,67,51
308,13,498,5,4,2,6.0,80,0
309,13,641,5,6,5,2.0,78,11
310,13,627,152,15,7,0.0,73,16
311,13,686,64,8,21,0.0,0,52
312,13,626,139,13,12,0.0,29,4
313,13,781,64,10,22,0.0,0,52
314,13,704,152,14,8,0.0,72,17
315,13,697,49,7,3,2.0,79,10
316,13,642,49,7,3,3.0,79,10
317,13,647,5,3,1,8.0,80,0
318,13,633,5,5,4,3.0,79,10
319,14,782,103,18,20,0.0,0,4
320,14,669,103,19,19,0.0,1,4
321,14,589,152,12,18,0.0,4,77
322,14,704,152,14,17,0.0,7,2
323,14,783,152,16,16,0.0,23,4
324,14,426,139,11,15,0.0,25,4
325,14,640,49,6,6,0.0,66,13
326,14,697,49,8,5,2.0,68,11
327,14,609,139,10,12,0.0,48,4
328,14,633,5,5,11,0.0,48,77
329,14,580,103,17,10,0.0,60,85
330,14,626,139,9,9,0.0,63,16
331,14,741,152,13,8,0.0,63,16
332,14,627,152,20,7,0.0,64,15
333,14,579,49,2,1,9.0,70,0
334,14,498,5,3,2,6.0,70,0
335,14,642,49,4,3,4.0,70,0
336,14,647,5,1,4,3.0,68,11
337,14,660,152,15,13,0.0,37,2
338,14,641,5,7,14,0.0,30,35
339,15,720,139,21,21,0.0,1,118
340,15,642,5,4,10,0.0,51,118
341,15,721,5,19,7,0.0,56,15
342,15,641,5,2,1,9.0,62,0
343,15,723,5,5,2,6.0,62,0
344,15,554,126,7,3,4.0,61,10
345,15,663,146,13,4,3.0,60,11
346,15,689,85,15,5,2.0,59,12
347,15,640,103,8,6,0.0,58,13
348,15,688,85,17,8,0.0,55,16
349,15,669,139,11,9,0.0,52,4
350,15,609,5,4,10,0.0,51,118
351,15,501,103,18,11,0.0,31,4
352,15,651,131,12,13,0.0,24,52
353,15,475,131,9,12,0.0,24,52
354,15,642,5,1,15,0.0,16,118
355,15,581,131,6,16,0.0,12,83
356,15,725,131,10,17,0.0,12,83
357,15,717,145,14,18,0.0,4,4
358,15,724,142,16,19,0.0,4,92
359,15,627,5,20,20,0.0,2,2
360,15,626,126,3,14,0.0,20,20
361,16,728,111,16,13,0.0,200,0
362,16,727,105,26,12,0.0,200,0
363,16,658,111,3,11,0.0,200,0
364,16,593,111,31,10,0.0,200,0
365,16,629,111,9,9,0.0,200,0
366,16,726,111,14,8,0.0,200,0
367,16,729,127,15,14,0.0,200,0
368,16,611,111,5,3,4.0,200,0
369,16,513,109,24,16,0.0,193,16
370,16,657,111,8,17,1.0,191,37
371,16,592,111,23,7,0.0,200,0
372,16,521,111,11,18,0.0,187,51
373,16,731,108,12,19,0.0,184,113
374,16,675,108,28,20,0.0,184,113
375,16,732,111,33,21,0.0,182,111
376,16,730,147,13,15,0.0,197,12
377,16,525,111,21,6,0.0,200,0
378,16,702,111,25,29,0.0,49,6
379,16,518,108,6,4,3.0,200,0
380,16,612,111,2,33,0.0,20,91
381,16,734,127,17,32,0.0,34,5
382,16,647,5,19,31,0.0,40,35
383,16,733,111,27,30,0.0,41,123
384,16,656,111,20,5,2.0,200,0
385,16,520,111,18,28,0.0,65,42
386,16,677,137,29,22,0.0,162,43
387,16,628,111,32,26,0.0,77,23
388,16,699,111,4,25,0.0,84,123
389,16,526,112,7,1,8.0,200,0
390,16,509,111,10,2,6.0,200,0
391,16,529,148,30,24,0.0,93,50
392,16,615,111,1,27,0.0,71,98
393,16,448,111,22,23,0.0,130,50
394,17,688,85,12,9,0.0,33,12
395,17,660,126,19,8,0.0,33,12
396,17,738,131,16,15,0.0,30,15
397,17,475,149,10,22,0.0,0,4
398,17,651,131,14,11,0.0,32,13
399,17,736,131,20,12,0.0,32,13
400,17,703,142,21,13,0.0,31,14
401,17,737,139,22,14,0.0,30,15
402,17,581,131,11,21,0.0,3,83
403,17,627,5,17,20,0.0,6,6
404,17,663,146,7,19,0.0,10,19
405,17,554,126,5,18,0.0,13,2
406,17,641,5,3,17,0.0,13,2
407,17,739,150,15,16,0.0,17,4
408,17,735,5,13,7,0.0,33,12
409,17,689,85,9,6,0.0,34,11
410,17,669,139,18,10,0.0,32,13
411,17,578,85,6,4,3.0,35,10
412,17,647,5,1,1,9.0,36,0
413,17,632,131,8,5,2.0,34,11
414,17,626,126,4,3,4.0,36,0
415,17,642,5,2,2,6.0,36,0
416,18,554,126,4,7,0.0,70,16
417,18,741,103,18,8,0.0,70,16
418,18,704,131,10,10,0.0,68,18
419,18,723,5,17,11,0.0,66,44
420,18,740,5,16,12,0.0,63,108
421,18,669,126,7,13,0.0,56,106
422,18,578,85,15,14,0.0,51,77
423,18,640,103,12,15,0.0,34,22
424,18,687,124,13,16,0.0,17,7
425,18,627,5,9,17,0.0,17,4
426,18,660,139,20,18,0.0,15,4
427,18,501,103,11,19,0.0,7,5
428,18,722,5,19,20,0.0,2,4
429,18,581,131,8,6,0.0,70,16
430,18,426,139,6,5,2.0,72,14
431,18,651,131,14,9,0.0,70,16
432,18,641,5,3,3,4.0,75,11
433,18,642,5,2,2,6.0,76,10
434,18,647,5,1,1,9.0,77,0
435,18,501,103,12,15,0.0,34,22
436,18,721,5,17,11,0.0,66,44
437,18,626,126,5,4,3.0,74,12
438,19,660,139,23,14,0.0,79,15
439,19,651,131,29,15,0.0,79,15
440,19,664,123,17,16,0.0,79,15
441,19,501,103,32,17,0.0,78,16
442,19,746,103,28,18,0.0,77,17
443,19,640,103,31,19,0.0,76,18
444,19,688,85,18,20,0.0,76,18
445,19,705,146,25,21,0.0,75,85
446,19,749,150,0,32,0.0,0,52
447,19,721,5,24,30,0.0,3,22
448,19,626,126,4,29,0.0,9,7
449,19,747,85,22,28,0.0,14,4
450,19,738,131,26,27,0.0,19,4
451,19,426,126,21,26,0.0,21,5
452,19,475,149,16,25,0.0,36,4
453,19,708,131,11,24,0.0,44,4
454,19,581,131,14,23,0.0,73,77
455,19,689,85,13,22,0.0,69,113
456,19,723,5,15,13,0.0,80,14
457,19,748,103,27,31,0.0,0,22
458,19,745,124,12,12,0.0,80,14
459,19,742,123,8,4,3.0,83,11
460,19,687,5,20,10,0.0,81,13
461,19,669,126,10,11,0.0,81,13
462,19,647,5,2,1,9.0,85,0
463,19,578,85,7,3,4.0,83,11
464,19,743,123,9,5,2.0,82,12
465,19,641,5,3,2,6.0,84,10
466,19,686,85,6,7,0.0,82,12
467,19,456,5,19,8,0.0,82,12
468,19,744,123,5,9,0.0,82,12
469,19,642,5,1,6,0.0,82,12
470,20,626,126,4,13,0.0,8,2
471,20,712,145,9,14,0.0,7,30
472,20,738,131,14,15,0.0,6,5
473,20,750,142,19,16,0.0,5,4
474,20,754,143,25,17,0.0,5,30
475,20,715,143,30,18,0.0,5,77
476,20,748,103,26,19,0.0,4,106
477,20,746,103,16,30,0.0,0,30
478,20,757,142,20,28,0.0,1,30
479,20,692,142,18,27,0.0,1,30
480,20,632,131,13,26,0.0,1,5
481,20,756,142,7,24,0.0,1,5
482,20,426,126,3,23,0.0,1,2
483,20,749,150,21,22,0.0,2,50
484,20,755,5,24,21,0.0,3,21
485,20,710,143,23,20,0.0,3,30
486,20,709,143,29,12,0.0,14,13
487,20,722,5,27,29,0.0,1,22
488,20,697,103,10,25,0.0,1,1
489,20,753,142,8,11,0.0,14,13
490,20,752,145,22,9,0.0,15,12
491,20,724,142,15,8,0.0,16,11
492,20,751,142,12,7,0.0,16,11
493,20,736,5,17,6,0.0,16,11
494,20,554,126,11,5,2.0,17,10
495,20,641,5,5,4,3.0,17,10
496,20,723,5,6,3,4.0,18,0
497,20,642,5,2,2,6.0,18,0
498,20,647,5,1,1,9.0,18,0
499,20,660,131,32,10,0.0,15,12
500,21,708,131,10,7,0.0,85,14
501,21,651,131,9,8,0.0,84,15
502,21,622,103,16,9,0.0,83,16
503,21,663,146,7,10,0.0,76,64
504,21,475,149,18,11,0.0,73,4
505,21,758,131,14,12,0.0,70,59
506,21,759,103,15,17,0.0,7,23
507,21,735,5,17,14,0.0,19,4
508,21,632,139,11,15,0.0,15,7
509,21,554,126,6,16,0.0,10,9
510,21,426,126,5,6,0.0,87,12
511,21,746,103,12,18,0.0,4,106
512,21,744,123,13,13,0.0,27,50
513,21,626,126,6,5,2.0,87,12
514,21,633,5,4,3,4.0,90,0
515,21,642,5,2,2,6.0,90,0
516,21,647,5,1,1,9.0,90,0
517,21,759,103,16,9,0.0,83,16
518,21,578,85,3,4,3.0,88,11
519,22,663,85,15,9,0.0,76,13
520,22,627,5,17,10,0.0,75,14
521,22,748,103,23,11,0.0,75,14
522,22,742,123,19,12,0.0,74,15
523,22,688,85,20,13,0.0,73,16
524,22,625,125,10,24,0.0,0,5
525,22,735,5,0,25,0.0,0,78
526,22,761,103,0,26,0.0,0,78
527,22,426,126,4,21,0.0,5,4
528,22,762,103,16,20,0.0,24,4
529,22,578,85,12,19,0.0,38,59
530,22,554,126,11,18,0.0,42,4
531,22,746,103,25,17,0.0,46,4
532,22,475,123,1,16,0.0,60,21
533,22,689,85,12,15,0.0,68,53
534,22,626,126,7,14,0.0,71,18
535,22,622,103,18,8,0.0,76,13
536,22,498,103,5,2,6.5,80,0
537,22,609,5,8,6,0.0,79,10
538,22,749,150,0,31,0.0,0,78
539,22,651,131,0,32,0.0,0,78
540,22,641,5,6,7,0.0,77,12
541,22,717,5,0,33,0.0,0,78
542,22,760,151,0,34,0.0,0,78
543,22,660,139,0,35,0.0,0,78
544,22,738,131,0,30,0.0,0,78
545,22,664,123,2,22,0.0,4,21
546,22,581,131,0,28,0.0,0,78
547,22,640,103,0,27,0.0,0,78
548,22,723,5,16,23,0.0,3,4
549,22,647,5,1,1,8.5,80,0
550,22,697,103,13,5,2.0,79,10
551,22,642,5,3,4,3.0,80,0
552,22,633,5,2,3,4.0,80,0
553,22,687,5,0,29,0.0,0,78
554,23,501,126,7,7,0.0,91,15
555,23,647,5,1,1,9.0,97,0
556,23,633,5,3,2,6.0,96,10
557,23,498,103,5,3,4.0,96,10
558,23,578,5,6,4,3.0,96,10
559,23,695,103,9,5,2.0,96,10
560,23,696,85,16,8,0.0,90,16
561,23,426,126,7,7,0.0,91,15
562,23,689,85,12,9,0.0,87,85
563,23,626,126,8,10,0.0,67,35
564,23,579,103,2,11,0.0,36,6
565,23,697,103,15,12,0.0,32,6
566,23,496,126,10,14,0.0,24,5
567,23,649,139,14,15,0.0,21,23
568,23,698,85,13,16,0.0,20,35
569,23,554,126,11,6,0.0,94,12
570,23,642,5,4,13,0.0,31,2
571,24,518,108,27,24,0.0,94,77
572,24,656,111,12,2,6.0,200,0
573,24,520,111,13,28,0.0,53,2
574,24,521,112,16,29,0.0,42,92
575,24,655,111,30,30,0.0,30,118
576,24,702,137,11,31,0.0,14,43
577,24,512,141,33,32,0.0,6,77
578,24,612,127,5,33,0.0,3,2
579,24,555,111,2,4,1.5,200,0
580,24,513,111,25,7,0.0,200,0
581,24,518,111,9,3,2.0,200,0
582,24,528,105,15,27,0.0,76,2
583,24,521,112,6,9,0.0,196,2
584,24,702,111,19,12,0.0,190,85
585,24,509,111,28,15,0.0,177,118
586,24,612,111,10,16,0.0,177,106
587,24,630,111,10,16,0.0,177,106
588,24,804,111,14,17,0.0,176,114
589,24,512,111,18,19,0.0,166,43
590,24,797,111,18,19,0.0,166,43
591,24,521,111,7,23,0.0,107,24
592,24,612,111,7,23,0.0,107,24
593,24,520,112,6,9,0.0,196,2
594,24,657,111,1,1,9.0,200,0
595,24,593,111,8,26,0.0,86,4
596,24,659,111,7,23,0.0,107,24
597,24,611,111,9,3,2.0,200,0
598,24,615,111,2,4,1.5,200,0
599,24,658,111,3,5,2.0,200,0
600,24,556,111,21,6,0.0,200,0
601,24,509,111,25,7,0.0,200,0
602,24,679,127,20,8,0.0,200,0
603,24,529,112,6,9,0.0,196,2
604,24,653,111,32,10,0.0,193,16
605,24,699,111,26,11,0.0,191,2
606,24,555,111,17,25,0.0,89,118
607,24,700,111,19,12,0.0,190,85
608,24,525,132,31,14,0.0,183,49
609,24,701,111,28,15,0.0,177,118
610,24,448,111,10,16,0.0,177,106
611,24,654,111,14,17,0.0,176,114
612,24,613,111,22,18,0.0,169,43
613,24,677,111,18,19,0.0,166,43
614,24,628,112,29,20,0.0,151,21
615,24,673,140,23,21,0.0,146,6
616,24,559,112,24,22,0.0,115,2
617,24,675,112,4,13,0.0,184,4
618,25,498,103,13,3,2.0,89,10
619,25,651,131,15,19,0.0,7,36
620,25,697,103,13,3,2.0,89,10
621,25,663,85,18,17,0.0,19,65
622,25,647,5,1,1,8.0,90,0
623,25,642,5,3,2,6.0,90,0
624,25,578,5,6,4,3.0,89,10
625,25,640,103,7,5,2.0,88,11
626,25,426,126,12,6,0.0,87,12
627,25,627,5,8,7,0.0,86,13
628,25,581,131,16,8,0.0,84,15
629,25,456,123,11,18,0.0,14,4
630,25,475,123,9,9,0.0,83,16
631,25,664,123,14,11,0.0,63,4
632,25,501,126,10,12,0.0,59,6
633,25,660,123,17,13,0.0,52,59
634,25,579,103,2,14,0.0,36,106
635,25,643,126,19,15,0.0,28,6
636,25,498,103,5,16,0.0,22,106
637,25,633,5,4,10,1.0,67,36
638,26,579,103,10,12,0.0,35,2
639,26,703,142,19,20,0.0,0,6
640,26,693,126,15,9,0.0,32,13
641,26,581,131,16,18,0.0,4,7
642,26,554,126,14,17,0.0,9,4
643,26,498,103,3,16,1.0,11,36
644,26,579,103,1,15,0.0,13,4
645,26,642,5,4,14,0.0,16,4
646,26,651,131,17,13,0.0,19,4
647,26,660,103,10,12,0.0,35,2
648,26,681,139,20,19,0.0,3,4
649,26,632,131,11,10,0.0,30,15
650,26,428,123,18,11,0.0,29,16
651,26,501,126,12,7,0.0,33,12
652,26,578,5,7,6,0.0,35,10
653,26,426,126,8,5,2.0,35,10
654,26,640,103,9,4,3.0,35,10
655,26,670,103,16,3,4.0,35,10
656,26,633,5,5,2,6.0,36,0
657,26,647,5,2,1,8.0,36,0
658,26,627,5,13,8,0.0,33,12
659,27,456,123,19,25,0.0,2,77
660,27,643,126,24,24,0.0,4,106
661,27,651,131,16,22,0.0,9,7
662,27,501,126,20,23,0.0,4,4
663,27,663,85,14,20,0.0,17,64
664,27,579,103,4,2,7.0,60,0
665,27,498,103,5,3,4.0,60,0
666,27,647,5,1,4,3.0,60,0
667,27,642,5,6,5,2.0,60,0
668,27,633,5,3,6,0.0,60,0
669,27,640,103,9,7,0.0,58,11
670,27,627,5,10,8,0.0,56,13
671,27,426,126,23,21,0.0,14,6
672,27,670,103,8,9,0.0,55,14
673,27,554,126,22,10,0.0,55,14
674,27,619,85,12,11,0.0,55,14
675,27,660,123,21,12,0.0,53,16
676,27,581,131,17,13,0.0,52,17
677,27,704,131,18,14,0.0,50,85
678,27,589,125,25,15,0.0,43,49
679,27,697,103,2,16,0.0,42,4
680,27,475,85,13,17,0.0,38,7
681,27,669,123,11,18,0.0,29,23
682,27,625,125,15,19,0.0,18,4
683,27,578,5,7,1,8.0,60,0
684,28,501,126,9,25,0.0,5,9
685,28,708,131,17,24,0.0,14,7
686,28,705,85,25,27,0.0,0,66
687,28,664,123,13,26,0.0,0,30
688,28,426,126,8,23,0.0,14,106
689,28,581,131,23,16,0.0,56,19
690,28,554,126,22,21,0.0,30,47
691,28,707,123,20,22,0.0,24,77
692,28,486,131,27,17,0.0,54,7
693,28,689,85,21,15,0.0,56,24
694,28,670,103,7,14,0.0,65,4
695,28,633,5,6,13,0.0,65,106
